code,name,region,cls,mlpa,vpd,lpv,inv,diesel,fleet,night,peak,who,driver,action,comp_n,comp_avg,comp_near,comp_who,scanned,gap_txn,gap_fill,sar
QS055,الدائري الشرقي,القصيم,خط سفر,6.0,440,37.3,75.66,0.457,0.0299,0.538,17,شاحنات وأساطيل · حسابات أسطول رقمية,التعاقد وسلة التعبئة,عقود ديزل متدرجة · خدمات شاحنات · ممر سريع,,,,,لا,0,795,32752
MK093,الملك خالد,الطائف,حي,5.7,685,22.9,50.86,0.095,0.0155,0.516,17,أفراد المدينة,التردد,ساعات العمل · مزيج المستأجرين · سرعة الذروة,,,,,لا,1,649,27588
MK099,البيعة,الطائف,حي,3.4,456,20.6,46.47,0.022,0.0115,0.572,17,أفراد المدينة · طلب مسائي غالب,التردد,ساعات العمل · مزيج المستأجرين · سرعة الذروة,,,,,لا,2,606,26483
MK014,خليص,مكة,خط سفر,8.7,417,57.1,112.5,0.629,0.2645,0.475,18,شاحنات وأساطيل · حسابات أسطول رقمية,التعاقد وسلة التعبئة,عقود ديزل متدرجة · خدمات شاحنات · ممر سريع,,,,,لا,11,0,25674
MK005,الشيباني,الطائف,حيوية,16.7,1734,26.3,59.83,0.004,0.0034,0.521,17,أفراد المدينة,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,,,,,لا,24,0,25248
MK100,الكوثر,جدة,حيوية,3.2,334,26.6,55.34,0.339,0.0351,0.505,21,شاحنات وأساطيل · حسابات أسطول رقمية,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,,,,,لا,4,508,24492
MK006,جنوب الطائف,الطائف,حيوية,15.1,1654,25.1,56.91,0.0,0.0021,0.487,17,أفراد المدينة,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,,,,,لا,22,0,22682
JA056,الروابي - المودة,جازان,حي,2.6,286,24.8,53.27,0.219,0.0266,0.472,7,خليط سكّان وعابرين · حسابات أسطول رقمية,التردد,ساعات العمل · مزيج المستأجرين · سرعة الذروة,,,,,لا,7,326,19961
JA061,طريق صبيا,جازان,حيوية,6.7,538,34.1,69.17,0.431,0.0,0.457,17,شاحنات وأساطيل,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,,,,,لا,14,0,18831
MK035,الجمعية الوسام,الطائف,مختلط,9.3,812,31.5,66.88,0.322,0.0,0.522,17,شاحنات وأساطيل,فصل الطلبين,عرض للسكّان وآخر للعابرين · لا رسالة واحدة,,,,,لا,7,200,16420
MK323,جبل ثور - جوهرة النسيم,مكة,حيوية,3.6,442,22.1,49.87,0.0,0.0001,0.58,2,أفراد المدينة · طلب مسائي غالب,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,,,,,لا,5,195,12222
RY025,الحمرا - طريق الملك عبدالله,الخرج,مختلط,7.9,866,24.9,54.79,0.101,0.0,0.537,21,خليط سكّان وعابرين,فصل الطلبين,عرض للسكّان وآخر للعابرين · لا رسالة واحدة,,,,,لا,10,0,10531
NJ219,المركب,نجران,نائية,2.3,275,22.5,48.47,0.179,0.0006,0.486,16,خليط سكّان وعابرين,حماية الربحية,ضبط العمالة · تأجير الوحدات · لا إنفاق تسويقي,,,,,لا,4,105,7979
MK063,السواط - شهار,الطائف,مختلط,10.0,1186,23.1,51.8,0.072,0.0,0.625,0,أفراد المدينة · طلب مسائي غالب,فصل الطلبين,عرض للسكّان وآخر للعابرين · لا رسالة واحدة,,,,,لا,8,0,7675
RY042,الناصفة,الخرج,حي,4.4,412,29.4,62.81,0.246,0.0136,0.454,16,خليط سكّان وعابرين,التردد,ساعات العمل · مزيج المستأجرين · سرعة الذروة,,,,,لا,4,0,4903
JA053,خبت نخلان,جازان,نائية,5.5,653,22.9,49.22,0.233,0.04,0.511,21,خليط سكّان وعابرين · حسابات أسطول رقمية,حماية الربحية,ضبط العمالة · تأجير الوحدات · لا إنفاق تسويقي,,,,,لا,4,0,4130
RY024,غرناطة - طريق الملك عبدالله,الخرج,حي,4.3,464,25.4,57.2,0.0,0.0,0.536,21,أفراد المدينة,التردد,ساعات العمل · مزيج المستأجرين · سرعة الذروة,,,,,لا,2,0,2171
HA043,العريفي,حائل,نائية,2.9,326,24.1,53.65,0.094,0.0,0.575,21,أفراد المدينة · طلب مسائي غالب,حماية الربحية,ضبط العمالة · تأجير الوحدات · لا إنفاق تسويقي,,,,,لا,1,18,2050
EP051,كورنيش الخبر,الشرقية,حيوية,5.7,605,25.8,56.84,0.09,0.0093,0.501,17,أفراد المدينة,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,,,,,لا,1,0,1191
MK084,الكر النازل,مكة,خط سفر,6.6,573,31.6,69.52,0.128,0.0024,0.601,19,خليط سكّان وعابرين · طلب مسائي غالب,التعاقد وسلة التعبئة,عقود ديزل متدرجة · خدمات شاحنات · ممر سريع,,,,,لا,1,0,1109
MK019,الشرايع,مكة,حيوية,3.7,443,23.2,52.43,0.0,0.0,0.561,21,أفراد المدينة · طلب مسائي غالب,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,23,3.6,488 م,Aldrees,نعم,0,0,124
MK022,بطحاء قريش 1,مكة,حي,9.0,811,30.5,63.82,0.365,0.0,0.528,17,شاحنات وأساطيل,التردد,ساعات العمل · مزيج المستأجرين · سرعة الذروة,,,,,لا,0,0,0
